code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
000032.SZ,深桑达A,2075475.0165515183,62130.52703319502,241,362231919.01,000065.SZ,北方国际,638118.9483812158,124012.49578423236,241,623707609.09
002761.SZ,浙江建投,1240558.2635313645,402689.5974110169,236,1046404449.02,002542.SZ,中化岩土,526431.1416844357,84213.83048962656,241,-315209174.78
300208.SZ,青岛中程,884246.7762448132,389265.41432365146,241,-129174400.37,002989.SZ,中天精装,376152.98589211615,33523.53739834025,241,108392858.16
002310.SZ,东方园林,802629.9923158506,60510.095170124485,241,-1158373779.68,003013.SZ,地铁设计,786021.3097925311,32399.900485477177,241,356536149.24
301058.SZ,中粮工科,797559.4282322819,264114.984114094,149,161485382.05,300983.SZ,尤安设计,660048.132780083,37062.84943568465,241,304004648.07
002061.SZ,浙江交科,794441.9688711702,147612.30119087137,241,968439347.18,600284.SH,浦东建设,619925.1427053943,90356.61604979252,241,534846148.65
301046.SZ,能辉科技,741475.6557831325,228471.52275301208,166,104002935.83,603018.SH,华设集团,556154.9311984523,75099.10787551868,241,618215781.92
600939.SH,重庆建工,727989.8940538216,102142.4094107884,241,273365739.77,603815.SH,交建股份,510688.44305070536,138241.1654439834,241,148600058.18
