code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
300896.SZ,爱美客,12362609.301908715,1406292.5986804978,241,957798548.01,300832.SZ,新产业,3787411.524983112,137208.35963070538,241,973696489.03
688223.SH,晶科能源,11510689.655172413,1052017.6133448277,58,1141409888.21,688256.SH,寒武纪-U,3692095.4761404567,208945.90024066388,241,-824949409.11
688363.SH,华熙生物,8575854.949748889,578219.6457593361,241,782334573.48,688521.SH,芯原股份-U,3302234.436139187,213987.32370954356,241,13292357.58
