code,name,mv_mean,amount_mean,num_days,profit,code,name,mv_mean,amount_mean,num_days,profit
688050.SH,爱博医疗,2509263.4633278674,249440.11847302906,241,171344218.27,688088.SH,虹软科技,1687086.67219917,138965.20192116182,241,140786915.08
688200.SH,华峰测控,2865367.2875566557,284639.8298630705,241,438773193.33,688161.SH,威高骨科,2608994.0,109922.15758,200,690318387.81
688223.SH,晶科能源,11510689.655172413,1052017.6133448277,58,1141409888.21,688276.SH,百克生物,2936173.8866264927,75206.4117093596,203,243553361.7
688301.SH,奕瑞科技,2792451.314783917,193386.48229875517,241,484039540.68,688538.SH,和辉光电-U,4480735.043297072,169000.5323018018,222,-945158194.0
688567.SH,孚能科技,3410402.8148466595,301812.65521991695,241,-952720292.43,688690.SH,纳微科技,3396419.2873094636,147755.1024682927,205,188089735.96
