code,name,mv_mean,amount_mean,num_days,profit
688608.SH,恒玄科技,3119252.614107884,225953.1589087137,241,407716464.97
688699.SH,明微电子,1566208.9034356845,326015.44648547715,241,647244552.19
600877.SH,声光电科,1419193.433910332,124496.18058297872,235,139040566.64
688135.SH,利扬芯片,576426.9659751038,126792.068,241,105841853.17
300046.SZ,台基股份,566138.7842299005,352918.6552074689,241,44087780.91
002119.SZ,康强电子,544794.0211784232,260844.86947717844,241,181236420.71
603078.SH,江化微,521785.8366776653,232606.1976987448,239,56507706.01
300831.SZ,派瑞股份,502750.5394190871,222239.3652448133,241,53377985.99
