code,name,mv_mean,amount_mean,profit,code,name,mv_mean,amount_mean,profit
000063.SZ,中兴通讯,11567939.280655663,1843938.0718298755,6812941000.0,300346.SZ,南大光电,1923466.6047239837,1105990.479485477,136226627.1
688981.SH,中芯国际,9814771.838860655,1702576.0368215768,10733098000.0,300458.SZ,全志科技,1897777.375461213,911127.0980207468,494458759.71
688008.SH,澜起科技,8324217.415194688,482941.6856929461,829137544.38,603005.SH,晶方科技,1832008.017263672,632299.7445892117,576045056.34
688012.SH,中微公司,7993499.095081966,1122703.8740331952,1011423670.06,600667.SH,太极实业,1639979.8029435244,250512.58273029045,908976484.38
688396.SH,华润微,7926405.015973778,960743.8598921162,2267920399.95,300456.SZ,赛微电子,1591939.792350951,405407.53319502075,205727463.64
688126.SH,沪硅产业-U,6469605.576948976,504322.258439834,146112351.76,300236.SZ,上海新阳,1221915.1855982624,301173.6157219917,104116259.89
